kind,etag,id,viewCount,likeCount,favoriteCount,commentCount
youtube#video,y8YiA4jeMagc625G6X9IWd-C5yM,i5t0E-7JMOc,2971,15,0,2
youtube#video,V6fE8gxd-vN7AOVF-OAiT15M_m0,WMz1XZFSyEw,1448,25,0,0
youtube#video,vNBR2b6OR9fM3fF2sud_HQxZUg0,FL0y_1MM5Jo,219366,1026,0,77
youtube#video,m1CTI1mUcO9IGMGf3GxSjUr06TY,ZwnddB4dFYk,31540,245,0,29
youtube#video,8NUFCERfBKPnoiYfvnHrV7EhW4I,aBy3-aG9Lb4,146726,13028,0,1741
youtube#video,Ehi5r6jkzgmnzCKiAzwE85i2MXU,kX7RPqGrLHY,951,2,0,0
youtube#video,9WSJE5TYDR_1Ny0dynkEcdq-wHs,aevincEID5Y,301451,1866,0,214
youtube#video,Nv8kGtgXlPJXvsy6v9UcG-m9JJo,v8SMo5Ln-Rg,16664,336,0,69
youtube#video,xesoYZSvhRUNjpOHguCNP_-l8GA,_JUxMulBL38,321056,3999,0,265
youtube#video,-6xb5UIz5v6XhTtI15KKyMDLAto,UQeTCD-VD2Y,646833,3256,0,361
youtube#video,T3qEENlo1j2gsZ-JJ8kU8kRvWc0,PeWnAFeqMUA,2604161,9214,0,631
youtube#video,ng2Zg1XErH6uKLP0qL9HiAsqzew,bg7JTn7KFFE,3683,48,0,5
youtube#video,oLApXevVGqykWeZ4jCmElvjkJeU,XYZ_IK0u3CA,455370,2105,0,158
youtube#video,ZcfYRoTSE-FwYEAHktE5Yu3dKJc,aGl_dphmX-0,5954,134,0,2
youtube#video,SZqucBjS7oDYP-pgtoxKTRqbVPE,Ei4wseRRJhc,5229236,22344,0,817
youtube#video,bOETSt6IEuY1JPDwJuJdN42xl-U,oQXWstFunY8,353109,2240,0,368
youtube#video,hI1dqVoHbeLKKdvPqOp8X-oGHx8,fo0zlG-JTeA,7386729,7392,0,241
youtube#video,JErvgI759ixcvc1NOjqWNOLcBOc,FScosIMfGsc,1161195,17320,0,1091
youtube#video,KH38CkNcgowYeQO4ppo3sN9MlIw,wK3sO7CXdbI,3668642,9142,0,945
youtube#video,XsAZgo1vWH8XaGwS-M3tEvKnUb0,rOsIzCzquV8,3377910,6756,0,417
youtube#video,eQ1u6yhmm_U3RRVuYeoOk4SZuCI,9ERyopFh-dw,3402110,14488,0,739
youtube#video,rhTD4MKH0f95DLOBbKWjsH4rOMk,1r6tLt_O03s,649082,8897,0,549
youtube#video,9B2AS0W3sXtLgX4TRVREUOETikQ,Xpi8S0T2Arc,925630,4154,0,317
youtube#video,V50zuqGvqRZXJQ63bxk2PrsyNhI,dyVDYAm_j68,6054569,54272,0,1483
youtube#video,NvvAl6SjJj43WAxaJJ1YKRFS100,D5O3UZZj-vM,3255,113,0,2
youtube#video,iAda74p8ze-x7gYvfbaDJa9MCTg,hwugg2r7k08,529923,2485,0,344
