collection_id,name,number_movies_before_2020,avg_popularity_before_2020,insertion_datetime
234835,Camp Blood Collection,9,2.718555555555556,2024-04-07 14:12:17.081514
771563,Merry Liddle Christmas Collection,1,4.04,2024-04-07 14:12:17.081514
109141,Perfect Education Series,8,7.694000000000001,2024-04-07 14:12:17.081514
1016339,John Schneider Poker,0,,2024-04-07 14:12:17.081514
903955,Go! Go! Cory Carson Collection,0,,2024-04-07 14:12:17.081514
764665,十二夜系列,1,1.744,2024-04-07 14:12:17.081514
761842,Bob The Cat Collection,1,23.147,2024-04-07 14:12:17.081514
899693,Hotel Inferno Collection,2,4.637,2024-04-07 14:12:17.081514
1073029,Wandering Earth Collection,1,31.418,2024-04-07 14:12:17.081514
853126,Erotic Tutoring Collection,2,9.8885,2024-04-07 14:12:17.081514
735502,Long Long Time Ago,2,2.5585,2024-04-07 14:12:17.081514
1231453,Doctor Who: The Collection Collection,5,0.8888,2024-04-07 14:12:17.081514
464577,The Croods Collection,1,55.203,2024-04-07 14:12:17.081514
853684,Invitation Girl Collection,2,8.239,2024-04-07 14:12:17.081514
771238,The Christmas Project Collection,1,4.224,2024-04-07 14:12:17.081514
919339,A Godwink Christmas Collection,2,6.7005,2024-04-07 14:12:17.081514
950536,The Christmas House Collection,0,,2024-04-07 14:12:17.081514
896142,Kamen Rider Saber Collection,0,,2024-04-07 14:12:17.081514
122776,Kvartet I Collection,10,3.5959000000000003,2024-04-07 14:12:17.081514
619929,Bo Bear Collection,2,1.2925,2024-04-07 14:12:17.081514
728776,Stand by Me Doraemon,1,58.529,2024-04-07 14:12:17.081514
1148930,Birchpunk,0,,2024-04-07 14:12:17.081514
1048766,Toby's Big Adventures Collection,0,,2024-04-07 14:12:17.081514
713330,The Princess Switch Collection,1,19.19,2024-04-07 14:12:17.081514
766441,Ashens Collection,1,3.277,2024-04-07 14:12:17.081514
1024746,Sixty Collection,1,1.354,2024-04-07 14:12:17.081514
743824,The Christmas Chronicles Collection,1,20.964,2024-04-07 14:12:17.081514
1004630,LEGO Star Wars (Seasonal) Collection,0,,2024-04-07 14:12:17.081514
1165719,SCP Foundation Collection,3,0.6136666666666667,2024-04-07 14:12:17.081514
1166297,The River Collection,0,,2024-04-07 14:12:17.081514
